iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
JOR,Asia,Jordan,12-05-2020,237513,3160,3829.143,3010,50,54.857,23278.422,309.709,375.291,295.007,4.9,5.376,0.83,,,,,,,,,18624,2667541,261.443,1.825,23175,2.271,0.165,6.1,tests performed,,,,,,,,,,78.7,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
JOR,Asia,Jordan,12-06-2020,240089,2576,3683.143,3056,46,51.714,23530.893,252.471,360.981,299.516,4.508,5.068,0.82,,,,,,,,,16979,2684520,263.107,1.664,22647,2.22,0.163,6.1,tests performed,,,,,,,,,,78.7,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
JOR,Asia,Jordan,12-07-2020,244069,3980,3519.857,3116,60,52.143,23920.969,390.076,344.978,305.396,5.881,5.11,0.81,,,,,,,,,25051,2709571,265.562,2.455,22620,2.217,0.156,6.4,tests performed,,,,,,,,,,78.7,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
JOR,Asia,Jordan,12-08-2020,247131,3062,3359.143,3162,46,51.429,24221.073,300.104,329.226,309.905,4.508,5.04,0.79,,,,,,,,,22308,2731879,267.749,2.186,22085,2.165,0.152,6.6,tests performed,,,,,,,,,,78.7,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
JOR,Asia,Jordan,12-09-2020,250219,3088,3287.286,3206,44,50.286,24523.725,302.652,322.184,314.217,4.312,4.928,0.79,,,,,,,,,23420,2755299,270.044,2.295,21915,2.148,0.15,6.7,tests performed,,,,,,,,,,78.7,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
JOR,Asia,Jordan,12-10-2020,253121,2902,3126.286,3250,44,48.714,24808.147,284.422,306.404,318.529,4.312,4.774,0.79,,,,,,,,,,,,,21287,2.086,0.147,6.8,tests performed,,,,,,,,,,78.7,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
JOR,Asia,Jordan,12-11-2020,255459,2338,3015.143,3286,36,46.571,25037.292,229.145,295.511,322.058,3.528,4.564,0.78,,,,,,,,,19225,2797026,274.134,1.884,21158,2.074,0.143,7,tests performed,,,,,,,,,,78.7,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
JOR,Asia,Jordan,12-12-2020,257275,1816,2823.143,3335,49,46.429,25215.277,177.984,276.694,326.86,4.802,4.55,0.78,,,,,,,,,13268,2810294,275.434,1.3,20393,1.999,0.138,7.2,tests performed,,,,,,,,,,78.7,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
JOR,Asia,Jordan,12/13/2020,259614,2339,2789.286,3365,30,44.143,25444.52,229.243,273.375,329.8,2.94,4.326,0.78,,,,,,,,,18712,2829006,277.268,1.834,20641,2.023,0.135,7.4,tests performed,,,,,,,,,,78.7,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
JOR,Asia,Jordan,12/14/2020,262477,2863,2629.714,3407,42,41.571,25725.12,280.6,257.736,333.917,4.116,4.074,0.78,,,,,,,,,21717,2850723,279.397,2.128,20165,1.976,0.13,7.7,tests performed,,,,,,,,,,78.7,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
JOR,Asia,Jordan,12/15/2020,265024,2547,2556.143,3437,30,39.286,25974.749,249.629,250.525,336.857,2.94,3.85,0.78,,,,,,,,,20827,2871550,281.438,2.041,19953,1.956,0.128,7.8,tests performed,,,,,,,,,,78.7,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
JOR,Asia,Jordan,12/16/2020,267585,2561,2480.857,3465,28,37,26225.75,251.001,243.146,339.601,2.744,3.626,0.78,,,,,,,,,22540,2894090,283.647,2.209,19827,1.943,0.125,8,tests performed,,,,,,,,,,78.7,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
JOR,Asia,Jordan,12/17/2020,269806,2221,2383.571,3496,31,35.143,26443.428,217.678,233.612,342.64,3.038,3.444,0.78,,,,,,,,,21176,2915266,285.722,2.075,19872,1.948,0.12,8.3,tests performed,,,,,,,,,,78.7,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
JOR,Asia,Jordan,12/18/2020,271514,1708,2293.571,3518,22,33.143,26610.828,167.399,224.791,344.796,2.156,3.248,0.78,,,,,,,,,17735,2933001,287.461,1.738,19425,1.904,0.118,8.5,tests performed,,,,,,,,,,78.7,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
JOR,Asia,Jordan,12/19/2020,272797,1283,2217.429,3545,27,30,26736.573,125.746,217.328,347.442,2.646,2.94,0.79,,,,,,,,,11336,2944337,288.572,1.111,19149,1.877,0.116,8.6,tests performed,,,,,,,,,,78.7,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
JOR,Asia,Jordan,12/20/2020,274949,2152,2190.714,3568,23,29,26947.489,210.915,214.71,349.696,2.254,2.842,0.8,,,,,,,,,18536,2962873,290.388,1.817,19124,1.874,0.115,8.7,tests performed,,,,,,,,,,78.7,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
JOR,Asia,Jordan,12/21/2020,277448,2499,2138.714,3604,36,28.143,27192.413,244.925,209.613,353.225,3.528,2.758,0.8,,,,,,,,,20215,2983088,292.37,1.981,18909,1.853,0.113,8.8,tests performed,,,,,,,,,,78.7,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
JOR,Asia,Jordan,12/22/2020,279892,2444,2124,3627,23,27.143,27431.947,239.534,208.171,355.479,2.254,2.66,0.8,,,,,,,,,19085,3002173,294.24,1.871,18660,1.829,0.114,8.8,tests performed,,,,,,,,,,81.48,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
JOR,Asia,Jordan,12/23/2020,281983,2091,2056.857,3652,25,26.714,27636.884,204.937,201.591,357.929,2.45,2.618,0.8,,,,,,,,,20453,3022626,296.245,2.005,18362,1.8,0.112,8.9,tests performed,,,,,,,,,,81.48,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
JOR,Asia,Jordan,12/24/2020,283690,1707,1983.429,3681,29,26.429,27804.186,167.301,194.394,360.771,2.842,2.59,0.79,,,,,,,,,17716,3040342,297.981,1.736,17868,1.751,0.111,9,tests performed,,,,,,,,,,81.48,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
JOR,Asia,Jordan,12/25/2020,285306,1616,1970.286,3711,30,27.571,27962.568,158.383,193.106,363.712,2.94,2.702,0.79,,,,,,,,,16827,3057169,299.63,1.649,17738,1.738,0.111,9,tests performed,,,,,,,,,,81.48,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
